#,round_id,roundStartDate,result
214,383688,1700703318721,1.85
215,383689,1700703337331,1.57
216,383690,1700703353986,1.14
217,383691,1700703366808,1.19
218,383692,1700703379901,2.72
219,383693,1700703402897,9.26
220,383694,1700703440773,2.56
221,383695,1700703463107,3.81
222,383696,1700703490301,2.83
223,383697,1700703513991,3.53
224,383698,1700703540616,1
225,383699,1700703552095,3.31
226,383700,1700703577542,7.03
227,383701,1700703612069,1.19
228,383702,1700703626095,1.1
229,383703,1700703638399,21.46
230,383704,1700703686307,1.68
231,383705,1700703704067,2.38
232,383706,1700703725635,1.1
233,383707,1700703738034,1.68
234,383708,1700703755439,2.95
235,383709,1700703779593,1.34
236,383710,1700703794354,1.9
237,383711,1700703813208,3.93
238,383712,1700703841027,2.37
239,383713,1700703862521,10.37
240,383714,1700703901751,3.85
241,383715,1700703929207,6.59
242,383716,1700703963041,1.02
243,383717,1700703974772,4.91
244,383718,1700704004843,1.45
245,383719,1700704021055,7.73
246,383720,1700704056792,3.93
247,383721,1700704084559,1.89
248,383722,1700704103546,4.86
249,383723,1700704133651,3.36
250,383724,1700704159649,1.06
251,383725,1700704171819,2.22
252,383726,1700704192579,1.1
253,383727,1700704205143,1.54
254,383729,1700704236300,4.52
255,383730,1700704266040,14.43
256,383731,1700704309082,7.35
257,383732,1700704344262,1.58
258,383733,1700704361347,12.19
259,383734,1700704402469,2.18
260,383735,1700704423527,1.15
261,383736,1700704436550,2.59
262,383737,1700704459184,2.29
263,383738,1700704480467,44.26
264,383739,1700704537081,4.4
265,383740,1700704566168,1.56
266,383741,1700704583247,6.21
267,383742,1700704616371,3.84
268,383743,1700704643916,1.07
269,383744,1700704656306,13.23
270,383745,1700704698432,2.02
271,383746,1700704718999,3.44
272,383747,1700704745530,1.82
273,383748,1700704764771,2.62
274,383749,1700704787910,1
275,383750,1700704799693,10.42
276,383751,1700704839084,6.08
277,383752,1700704872011,6.22
278,383753,1700704905209,1.14
279,383754,1700704918305,1.63
280,383755,1700704935481,2.83
281,383756,1700704959284,4.56
282,383757,1700704988875,1.03
283,383758,1700705000878,1.04
284,383759,1700705012606,8.78
285,383760,1700705050270,1.09
286,383761,1700705063512,1.49
287,383762,1700705080164,3.38
288,383763,1700705106542,1.36
289,383764,1700705122087,1
290,383765,1700705133486,2.65
291,383766,1700705156476,1.8
292,383767,1700705175082,1.75
293,383768,1700705193262,1.82
294,383769,1700705211967,1.41
295,383770,1700705227747,2.12
296,383771,1700705248067,4.33
297,383772,1700705276909,1.52
298,383773,1700705293448,1.39
299,383774,1700705308565,2.6
300,383775,1700705331258,1.06
301,383776,1700705343481,1.03
302,383777,1700705354994,1.7
303,383778,1700705372582,1.33
304,383779,1700705387266,1.38
305,383780,1700705402178,1.24
306,383781,1700705415856,1.83
307,383782,1700705433935,3.08
308,383783,1700705458544,1.34
309,383784,1700705473323,1.65
310,383785,1700705490505,24.1
311,383786,1700705539586,3.64
312,383787,1700705566294,1.48
313,383788,1700705582376,2.93
314,383789,1700705606265,1
315,383790,1700705617544,1.72
316,383791,1700705635723,1.56
317,383792,1700705652358,28.2
318,383793,1700705703529,1.16
319,383794,1700705716792,1.44
320,383795,1700705732221,1.25
321,383796,1700705745958,1.66
322,383797,1700705763369,14.07
323,383798,1700705806008,66.83
324,383799,1700705867724,8.52
325,383800,1700705904756,1.13
326,383801,1700705917725,1.18
327,383802,1700705931135,1.94
328,383803,1700705950205,3.88
329,383804,1700705977668,30.35
330,383805,1700706029987,1.2
331,383806,1700706043598,6.85
332,383807,1700706077709,1.67
333,383808,1700706095712,1.15
334,383809,1700706108784,1
335,383811,1700706131329,55.72
336,383812,1700706190740,5.05
337,383813,1700706222093,2.8
338,383814,1700706246081,342.4
339,383815,1700706327554,2.88
340,383816,1700706351770,2.86
341,383817,1700706375815,24.3
